標題,連結,內文,來源,時間
吳恭銘觀點》國際舞台新戰場！聯大2758號決議「不涉台」有理有據| 政治,https://news.google.com/read/CBMiWkFVX3lxTFByUzFHeWhOMGJKSkxaZ01ZazMzMzZPMnNja2JGOEJaNW5kMEtOTks2Vk8xcUlJQ3dJT29zWmU2bjdZbDFNU3daTUQ5NUVEUnljdkFPNERDY09oZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"政府今年推動聯合國案將鎖定聯大第 2758 號決議，民進黨立院黨團將在國會推動通過「聯大第 2758 號決議並不涉台」法案，國民黨立院黨團第一時間表達尊重、不反對的說法引發中共高度關注，此舉引來馬英九基金會的不滿，質疑美國要求賴清德政府配合推動「一中一台」，刺激中共反應，國民黨不宜隨之起舞。
民主國家對聯大第 2758 號決議的新宣示
2020 年，美國的《台灣國際團結法案（Taiwan International Solidarity Act）》首先對此作出澄清，2024 年 4 月美國再度公開發表反駁聯大第 2758 號決議遭誤用的 4 點聲明，「對中政策跨國議會聯盟」（Inter-Parliamentary Alliance on China, IPAC）也在今年 7 月通過「IPAC 針對聯大第 2758 號決議之各國議會決議範本」，澳洲聯邦國會參議院更率先在今年 8 月針對聯大第 2758 號決議遭誤用通過駁斥決議，國際社會有關台灣的國際組織參與及其地位主張可說一波接著一波。
民主國家對聯大第 2758 號決議的否認是新宣示嗎？不管是不是新的宣示，這具有繼往開來的新內涵。新內涵的重點在「典範轉移」，「典範轉移」在於當前國際社會都已經如此看待台灣的國際地位之際，對於我國爭取國際空間，唯有正確理解 2758 號決議，才能避免中共將台海問題視為中國內政，並以此作為武力犯台的藉口。
眾所周知，2758 號決議文確立中華人民共和國是聯合國唯一的合法中國代表，但它並没有處理台灣及其人民在聯合國及其相關組織的代表權問題。2758 決議案與中國主張的「一中原則」意義不同，北京錯誤將 2758 決議案與中國「一中原則」等同，更錯誤主張這是國際支持中國「一中原則」的共識。
2758 號決議悄悄寫入中國與他國聯合聲明的啟示
面對國際對台灣參與國際空間的聲援，中共過去在與新國家建交或簽署聯合公報、聲明時，往往老調重談，文字不外乎「堅定奉行一個中國政策，承認台灣是中華人民共和國領土不可分割的一部分，支持中國實現國家統一，不支持任何『台獨』主張」，外交文件鮮少出現對 2758 號決議案的字眼。
據筆者的不完整的耙梳，中共外交文件近期開始陸續出現「一中原則與 2758 號決議案」的連結，為何會出現這種現象？中共急了，相信是中共不得不的回防。舉例來說，2023 年有中國與宏都拉斯的聯合聲明，提及「政府支持聯合國大會第 2758 號決議，重申中華人民共和國政府是代表全中國的唯一合法政府，臺灣是中國領土不可分割的一部分。」；2024 年，諾魯以聯合國 2758 號決議及一中原則為由與中華民國斷交；突尼西亞總統在會見到訪的中國外長王毅時表示，突方恪守一個中國原則和聯大 2758 號決議，支持中國在全部國土上行使主權；巴基斯坦總理訪中所發布的聯合聲明，稱「聯合國大會第 2758 號決議不容質疑和挑戰。巴方重申堅定奉行一個中國原則，台灣是中華人民共和國領土不可分割的一部分」。
諷刺的是，中共也開始運用「南方國家」吞下 2758 號決議，陸續利用聯合聲明或各類的戰略伙伴關係全力捍衛中共立場，馬英九居然裡應外合，開始情勒國民黨要吞下中國觀點，不顧當前美歐日等民主國家拒絕被中國扭曲的 2758 號決議的事實。
智取中國是抵抗意志的展現
抵抗意志是自我防衛最基本的要件，而中共長期以來砸大筆資源在台灣散播失敗主義，在野黨同聲附和，不斷合理化中共打壓台灣以及各種侵略野心。用美國軍售台灣來說，軍售當然是展現台灣自我防衛的抵抗意志，那外交上如何展現抵抗意志呢？未來國際有關台灣的國際組織參與之支持力道會持續增強，那台灣如何因應呢？
眾所周知，目前各國提到的中國就是 PRC，沒有任何模糊的空間。而民主國家多數採取「否定性的論述」，也就是「聯大 2758 決議不涉台」。民主國家的新宣示就是劃清關係，劃清站在中國那邊或站在美國這邊的關係。對此，欣見執政黨在立法院推出「聯大 2758 決議不涉台」的法案，智取中共齊力為台灣發聲。
進一步來看，中共長期收買掌握聯合國組織重要人事，扭曲 2758 號決議，意圖將台灣納入中國，我國應趁民主同盟對台海議題「國際化」時機，讓「聯大 2758 決議不涉台」變成歐洲、亞洲等理念相近國家間共識，並把相關論述納入國際文件，形成國際法效力，才能逐漸在國際上形成一股足以抗衡北京謬論的聲量。
抵抗意志是自我防衛最基本的要件，而中共長期以來砸大筆資源在台灣散播失敗主義。圖為中國領導人習近平。   圖：翻攝自中國網路",Newtalk新聞,12 天前
日期定了！日本準航艦「加賀號」9/17出發赴美測試F-35B起降| 國際,https://news.google.com/read/CBMiWkFVX3lxTE04SGVFU1NzSC1Od2R5OURlVC02WE1pMlBLbmJ3T0ZIN3RRTnN3LWQtRUhjN3pLb1JQVVNOUzN3YVkwSWhWVUIzUzJ2cEVlTWJ2TlVTSnh6bXR3Zw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"日本海上自衛隊今天(10日)公開最新行程，指出雲級護衛艦(Izumo-class helicopter destroyer)2號艦「加賀號(JS Kaga，DDH-184)」，將於9月17日起航赴美，10月5日至11月18日在加州聖地牙哥近海，使用美軍F-35B實施艦上起降試驗。
海上自衛隊幕僚長齋藤聰對於加賀號的準航艦改裝作業表示：「為了防衛包括廣闊太平洋一側的我國周邊海域和空域，變為可在海上起降戰機是必不可缺的」、「獲得運用F-35B的能力將提升防衛力，有助於印度太平洋地區的和平穩定」。
根據海自介紹，加賀號在今年3月的改裝中，除了將艦艏由原本的梯形改為方形外，還對一部分甲板做了耐熱化處理，以應對戰機降落時的高溫；這趟的美國行，將接受美國海軍與美國海軍陸戰隊的支援，測試F-35B從艦上短距離起飛和垂直降落。除了確認使用安裝在甲板上的電梯把機體放入停機庫的順序外，還將在加油、檢修、停機時確認各種設備的尺寸有無問題。",Newtalk新聞,12 天前
颱風魔羯肆虐菲律賓 洪水、土石流釀至少14死,https://news.google.com/read/CBMiZkFVX3lxTFBYU3ljV1YtNm80VjNILVR5UWxFaTdubW5lMkFFTUVMUWdqcHZ2bXc4UGxkWlU0dzlvRC1jblpaeElqRHFNZWZOY1kyeTBqRUpzMjFmZXZVZDgwLUxJOXlvQUZHVDZyZ9IBa0FVX3lxTE9YVmhveWh4Y2hfTkN0R3hmb1EzbThDTkdKV3liUjkzdzZnMEtFc0dLM2pScThfakNLczRCWThxRkhIdjhnb0JTcGkxMzh2SWFYZ29DSldFX2J5T1oxNVR2NmNyQWRIa0RfLWZv?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


魔羯颱風昨（2）日登陸菲律賓呂宋島北部，各地頻傳洪災與土石流災情，至少14人死亡。（歐新社）
莊文仁／核稿編輯
〔即時新聞／綜合報導〕今年第11號颱風「魔羯」1日在菲律賓近海生成，昨（2）日登陸菲律賓呂宋島北部，菲國各地不斷傳出洪水及土石流等災情，目前造成至少14人死亡。
綜合《美聯社》、《菲律賓美日詢問者報》 報導，輕颱魔羯（Yagi）昨日登陸菲律賓東北部奧羅拉省（Aurora province）的卡西古蘭市（Casiguran），為當地帶來傾盆大雨，造成菲律賓北部多處淹水與土石流。
請繼續往下閱讀...

受到摩羯颱風影響，卡拉巴松大區（Calabarzon）黎剎省（Rizal province）安蒂波洛市（Antipolo）發生山崩，導致3人死亡，包括1名孕婦及2名孩童，另外4名村民因溪水暴漲而溺水身亡；宿霧市（Cebu city）中部及北薩馬省（Northern Samar province）也分別傳出土石流災情，共造成4人死亡；東部那牙市（Naga）另有3人死亡，其中2人溺水、1人觸電身亡。
菲律賓人口最多的呂宋島包括首都馬尼拉（Manila）等地昨日皆發布暴風雨警告，當地所有學校及部分政府機構停班、停課。今（3）日馬尼拉及卡拉巴松大區也因降雨預測將持續而維持停班停課。
菲律賓為全球最容易發生天災的國家之一，每年約有20場風暴及颱風襲擊菲律賓或周遭海域，每次幾乎都會造成當地民眾身亡，破壞農作物、房屋及基礎建設。
菲律賓呂宋島黎剎省（Rizal Province）一片汪洋，淹水高度快到居民胸口。（美聯社）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,19 天前
泰北近30年最慘洪災！已釀9死多失蹤 國際機場停擺,https://news.google.com/read/CBMiZkFVX3lxTE9BQzU5V3FFVUFnQXlEZzIzR3hTWW8yR2puZTdPbDh4ZjRudXl6V093RXVkeFB5OXJxQ0hCOHdsUlJDUF85RDVBX3hNdmpmOEQ2WTJGaE5fQUlRWGxaYjZqUnhPdU1Ld9IBa0FVX3lxTE9fUnNmRVJ0ZVk1cDJ1ZURVVG1TMGJPYi1EdEZxQ21lSUYySUd2Q3NSZHBaaUFNelhHMDAxWHlLQ1FEWlI2cHo4S0NJQzJFZ1ktWl9yOHNuenNlRk9GVWVyRG5lU2NfZW91Vmhn?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


泰國清萊有超過萬戶人家受到洪水影響，美賽地區積水相當驚人。（法新社）
蔡百靈／核稿編輯
〔即時新聞／綜合報導〕受到季節性暴雨襲擊加上颱風摩羯（Yagi）的影響，泰北清邁（Chiangmai）和清萊（Chiangrai）遭受近30年來最嚴重水災，清萊國際機場12日取消所有航班；截至12日上午，已影響超過3.4萬戶家庭，9人因洪水喪生，另有多人受傷和行蹤不明。
綜合媒體報導，清萊的美賽（Mae Sai）地區和清邁府的美艾（Mae Ai）地區受災嚴重，洪災12日持續蔓延。《曼谷郵報》報導，由於清萊市區郭河（Kok River）河川暴漲，清萊府市區12日受嚴重影響，官員宣布關閉所有市區道路和橋梁，清萊國際機場也被迫關閉。
請繼續往下閱讀...

清萊有超過萬戶人家受到影響，美賽地區積水相當驚人，民眾只能在屋頂等待救援，泰國海軍、警方和救援工作者出動橡皮艇和水上摩托車，協助居民撤離。
泰國國家水資源辦公室發布報告，稱新的熱帶低氣壓可能在18日繼續增強，40餘個省分應對可能發生的山洪保持警惕；氣象部門則警告，13日至下週，泰國全境範圍內將出現更多暴雨。
泰國新任總理貝東塔（Paetongtarn Shinawatra）12日下午召集所有相關部會首長舉行會議，討論如何應對清萊和清邁的洪災。貝東塔要求協助撤離民眾並提供必要糧食和醫療協助，待大水退去後，應協助民眾重整家園，強調政府會動用中央預算幫助民眾度過難關。
泰國清萊有超過萬戶人家受到洪水影響，美賽地區積水相當驚人。（法新社）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,9 天前
波蘭南部大洪水 籲歐盟提供幫助,https://news.google.com/read/CBMiWkFVX3lxTE9YTDhkRW83Nk5NTDBRQVVKeDRNTGNNODl1S3VFM2pTUnR1eFQ3YlFKSGtJbXZaV3hJaVlFZWQ0ZzM2SEM2cmpKR3Z2RXZxUXB4T2ZfRllrUGlBd9IBX0FVX3lxTFBQOE5MWEhScFhPeFQ1ZTItZ2JBSGZjVVMzY2hUTWU5MnBBTzFFX05wNk5zS1JmS19RRDRJSTRnLXBBbVVZOXhlVVFvdWdZY2pkS3ZWY25rU3dZRXAwOFpj?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"根據波蘭國家廣播公司（TVP）報導，波蘭南方正受洪水肆虐，目前已至少有兩人死亡，其中最嚴重的地區是靠近捷克邊境的尼薩市（Nysa）。政府下令準備引入自然災害防禦措施，籲歐盟提供幫助。
上週日，其主醫院被洪水入侵，有一些病人必須被迫乘船疏散。這一場暴雨，導致波蘭西南部受創，連帶捷克、奧地利及匈牙利等都在洪水肆虐的範圍內。
弗羅茨瓦夫（Wroclaw）市長蘇特里克（JacekSutryk）於週一宣佈，奧德拉河（Odra）上的洪水將於週三下午6點左右開始穿過該市，並強調要開始加強下西裡西亞首都各個地方的堤壩。
波蘭政府也宣佈進入緊急狀態，下令準備引入自然災害防禦措施，以應對繼續摧毀波蘭南部部分地區的大洪水。華沙還呼籲歐盟幫助應對這場災難。
在波蘭的歷史上，這項法律措施從未實施過。 它的主要目的是將危機管理交由中央政府，並授予當局權力，如命令企業如何開展活動、徵用私有財產和限制行動自由等。
波蘭總理圖斯克（Tusk）已命令財政部為受害者準備緊急援助資金，並宣佈他的歐盟事務部長將申請歐洲援助。總統國家安全單位（BBN）負責人西維拉（Jacek Siewiera）更表示，現在是布魯塞爾表示團結協助波蘭的時候了，就像過去波蘭協助其他歐盟成員國在各種災難中一樣。
目前已經有烏克蘭與捷克提出向波蘭派遣救助人員與裝置。而弗羅茨瓦夫市長蘇特里克向民眾表示，1997年大洪水的情況不太可能重演，因為供水系統已經全面現代化，且可以處理比1997年多三分之一的洪水量。",經濟日報,5 天前
奈及利亞大洪水逾20萬人流離失所170人死亡、蘇丹大雨大壩倒塌災情慘重| 國際,https://news.google.com/read/CBMiWkFVX3lxTE5rLXpiQktQLVZSVzI2dWJuNDZnWl85NFh6UE91eWllOVNsYVJuNThJTDI4WERHVUpfLV96TE5aMUhISDRFVUtndTNSZmZiWjdZN2N5cUxkVVA5dw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"綜合外媒報導，近日蘇丹因暴雨和潰壩引發的洪水，造成的死亡人數已上升至 132 人。據政府委員會表示，洪水摧毀了 10 個省份的 12,000 多座房屋，超過 30,000 個家庭受到影響。另外，奈及利亞也陷入大淹水。
8 月 26 日，聯合國緊急救援機構報告指出，蘇丹西北部紅海州的阿爾巴特大壩倒塌事故造成至少 30 人死亡。聯合國人道事務協調辦公室（OCHA）警告，已經飽受內戰困擾的蘇丹，許多人仍失蹤和流離失所，洪水遭成的死亡人數可能會進一步上升。
人道協調廳強調，通訊網絡的損壞使得準確資訊的收集變得困難。此外，受損的大壩是蘇丹港的主要淡水來源，其損壞將影響供水，進一步惡化紅海區域的人道主義。自 6 月以來的洪水已經導致超過 10 萬人流離失所，並加劇該國的內政破壞性的分裂。人道協調廳 7 月表示，蘇丹全國一半以上的人口仍面臨嚴重飢餓。
科學家指出，人為造成的氣候變化使極端天氣事件愈加頻繁，蘇丹是受氣候影響最嚴重的國家之一，面臨致命的降雨、洪水及乾旱。
與此同時，奈及利亞的洪水也造成了至少170人死亡，超過 20 萬人流離失所。國家緊急事務管理局（NEMA）表示，北部地區受災最為嚴重，但全國各地仍面臨風險。奈及利亞水文服務局（NIHSA）預警，來自鄰國的洪水有可能進一步影響該國，並敦促沿尼日河的州保持警惕。
根據最新數據，非洲洪災已造成近 2,000 人傷亡，並摧毀了超過 10 萬公頃的農地。人道協調廳的報告指出，該地區的災情仍在加劇，急需國際社會的關注與援助。
 
 
蘇丹內戰仍在持續中，街道殘破不勘   圖：美聯社／達志影像
非洲人口最多的奈及利亞連月降雨釀河水暴漲   圖：美聯社／達志影像",Newtalk新聞,8月28日
連日大雨襲中東歐 30年最嚴重洪水釀至少8死 直擊災情現場,https://news.google.com/read/CBMi-gJBVV95cUxPVVNXVGU0VGRsdG00M2dzM1h4T0JrQmxvb0ZKa2JnZGNNemc3NzhsUzJ0dllrTGVEREszQWo1a2JUTzZxM2wtT0hBREFna3VwUFJnenAzNG9XR1V2cnItNGQ2LXRxMnF5VXU3MTRJV0pQOS1qQi1nc0lYa3pGWkY0czMzNlJReU1QeG5IT0FHU1pVeFlIVGZZTnFRak9YTy1xUU9UeHBXcjNsM2RTUnh3MThHSHhTTERLQVZmT2hyNThnTVAyNXdhQnZ6YllfR2xaakh3d3BpclI2bFdmcU1FQmlvLTI0SVNzY2xIRTM0c3ltTVN0U2JzWnNnQmpaR25VMFVWYkNRYXVVei1LUmNpQWY2YlJtT3BVN3g2VmhhcVNIekpRQTV0cjRQbDAxRTZvclBwM1Nxb0lYRzVabHB0UlhwcVB6S0N3YzZoSkRFSUFFXzFaZUpkVWh4NUZtRkc5ZEppNi02dDVsNDZoR1dXNExPSnVqOFNQNUE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"風暴波瑞斯（Storm Boris）為中東歐帶來連日大雨，捷克、波蘭等出現近30年最嚴重的洪患，截至9月15日，中歐地區至少已8死，數千房屋被破壞、25萬戶停電。羅馬尼亞首當其衝，洪水退去後，居民行走在遭蹂躪後的家園，無語問蒼天；而波蘭河流一夜之間水位暴漲，有的甚至超出警戒水位快3倍，沖垮鐵橋，當局宣布進入災難狀態，並請求歐盟支援。
捷克亦災情慘重，湍急的洪水流過大街小巷，部分地區通信中斷，當局已緊急疏散上萬人。然而，大雨仍未止息，在匈牙利首都布達佩斯，當局預計本周多瑙河水位將上漲超過8.5公尺，接近2013年8.91公尺的紀錄。
BBC指出，波瑞斯之所以如此具破壞性的原因，首先是地中海、黑海海水異常高溫，來自北方的冷空氣與溫暖的溼氣混合在一起；其次，低壓被困在西部和東部的高壓之間，陷入「阻塞模式」。自2021年西歐極端洪災後，專家表示歐洲發生類似事件的可能性和強度正在增加。",Yahoo奇摩新聞,6 天前
颱風魔羯肆虐菲律賓 洪水、土石流釀至少14死,https://news.google.com/read/CBMiZkFVX3lxTFBYU3ljV1YtNm80VjNILVR5UWxFaTdubW5lMkFFTUVMUWdqcHZ2bXc4UGxkWlU0dzlvRC1jblpaeElqRHFNZWZOY1kyeTBqRUpzMjFmZXZVZDgwLUxJOXlvQUZHVDZyZ9IBa0FVX3lxTE9YVmhveWh4Y2hfTkN0R3hmb1EzbThDTkdKV3liUjkzdzZnMEtFc0dLM2pScThfakNLczRCWThxRkhIdjhnb0JTcGkxMzh2SWFYZ29DSldFX2J5T1oxNVR2NmNyQWRIa0RfLWZv?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


魔羯颱風昨（2）日登陸菲律賓呂宋島北部，各地頻傳洪災與土石流災情，至少14人死亡。（歐新社）
莊文仁／核稿編輯
〔即時新聞／綜合報導〕今年第11號颱風「魔羯」1日在菲律賓近海生成，昨（2）日登陸菲律賓呂宋島北部，菲國各地不斷傳出洪水及土石流等災情，目前造成至少14人死亡。
綜合《美聯社》、《菲律賓美日詢問者報》 報導，輕颱魔羯（Yagi）昨日登陸菲律賓東北部奧羅拉省（Aurora province）的卡西古蘭市（Casiguran），為當地帶來傾盆大雨，造成菲律賓北部多處淹水與土石流。
請繼續往下閱讀...

受到摩羯颱風影響，卡拉巴松大區（Calabarzon）黎剎省（Rizal province）安蒂波洛市（Antipolo）發生山崩，導致3人死亡，包括1名孕婦及2名孩童，另外4名村民因溪水暴漲而溺水身亡；宿霧市（Cebu city）中部及北薩馬省（Northern Samar province）也分別傳出土石流災情，共造成4人死亡；東部那牙市（Naga）另有3人死亡，其中2人溺水、1人觸電身亡。
菲律賓人口最多的呂宋島包括首都馬尼拉（Manila）等地昨日皆發布暴風雨警告，當地所有學校及部分政府機構停班、停課。今（3）日馬尼拉及卡拉巴松大區也因降雨預測將持續而維持停班停課。
菲律賓為全球最容易發生天災的國家之一，每年約有20場風暴及颱風襲擊菲律賓或周遭海域，每次幾乎都會造成當地民眾身亡，破壞農作物、房屋及基礎建設。
菲律賓呂宋島黎剎省（Rizal Province）一片汪洋，淹水高度快到居民胸口。（美聯社）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,19 天前
奈及利亞大洪水逾20萬人流離失所170人死亡、蘇丹大雨大壩倒塌災情慘重| 國際,https://news.google.com/read/CBMiWkFVX3lxTE5rLXpiQktQLVZSVzI2dWJuNDZnWl85NFh6UE91eWllOVNsYVJuNThJTDI4WERHVUpfLV96TE5aMUhISDRFVUtndTNSZmZiWjdZN2N5cUxkVVA5dw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"綜合外媒報導，近日蘇丹因暴雨和潰壩引發的洪水，造成的死亡人數已上升至 132 人。據政府委員會表示，洪水摧毀了 10 個省份的 12,000 多座房屋，超過 30,000 個家庭受到影響。另外，奈及利亞也陷入大淹水。
8 月 26 日，聯合國緊急救援機構報告指出，蘇丹西北部紅海州的阿爾巴特大壩倒塌事故造成至少 30 人死亡。聯合國人道事務協調辦公室（OCHA）警告，已經飽受內戰困擾的蘇丹，許多人仍失蹤和流離失所，洪水遭成的死亡人數可能會進一步上升。
人道協調廳強調，通訊網絡的損壞使得準確資訊的收集變得困難。此外，受損的大壩是蘇丹港的主要淡水來源，其損壞將影響供水，進一步惡化紅海區域的人道主義。自 6 月以來的洪水已經導致超過 10 萬人流離失所，並加劇該國的內政破壞性的分裂。人道協調廳 7 月表示，蘇丹全國一半以上的人口仍面臨嚴重飢餓。
科學家指出，人為造成的氣候變化使極端天氣事件愈加頻繁，蘇丹是受氣候影響最嚴重的國家之一，面臨致命的降雨、洪水及乾旱。
與此同時，奈及利亞的洪水也造成了至少170人死亡，超過 20 萬人流離失所。國家緊急事務管理局（NEMA）表示，北部地區受災最為嚴重，但全國各地仍面臨風險。奈及利亞水文服務局（NIHSA）預警，來自鄰國的洪水有可能進一步影響該國，並敦促沿尼日河的州保持警惕。
根據最新數據，非洲洪災已造成近 2,000 人傷亡，並摧毀了超過 10 萬公頃的農地。人道協調廳的報告指出，該地區的災情仍在加劇，急需國際社會的關注與援助。
 
 
蘇丹內戰仍在持續中，街道殘破不勘   圖：美聯社／達志影像
非洲人口最多的奈及利亞連月降雨釀河水暴漲   圖：美聯社／達志影像",Newtalk新聞,8月28日
連日大雨襲中東歐 30年最嚴重洪水釀至少8死 直擊災情現場,https://news.google.com/read/CBMi-gJBVV95cUxPVVNXVGU0VGRsdG00M2dzM1h4T0JrQmxvb0ZKa2JnZGNNemc3NzhsUzJ0dllrTGVEREszQWo1a2JUTzZxM2wtT0hBREFna3VwUFJnenAzNG9XR1V2cnItNGQ2LXRxMnF5VXU3MTRJV0pQOS1qQi1nc0lYa3pGWkY0czMzNlJReU1QeG5IT0FHU1pVeFlIVGZZTnFRak9YTy1xUU9UeHBXcjNsM2RTUnh3MThHSHhTTERLQVZmT2hyNThnTVAyNXdhQnZ6YllfR2xaakh3d3BpclI2bFdmcU1FQmlvLTI0SVNzY2xIRTM0c3ltTVN0U2JzWnNnQmpaR25VMFVWYkNRYXVVei1LUmNpQWY2YlJtT3BVN3g2VmhhcVNIekpRQTV0cjRQbDAxRTZvclBwM1Nxb0lYRzVabHB0UlhwcVB6S0N3YzZoSkRFSUFFXzFaZUpkVWh4NUZtRkc5ZEppNi02dDVsNDZoR1dXNExPSnVqOFNQNUE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"風暴波瑞斯（Storm Boris）為中東歐帶來連日大雨，捷克、波蘭等出現近30年最嚴重的洪患，截至9月15日，中歐地區至少已8死，數千房屋被破壞、25萬戶停電。羅馬尼亞首當其衝，洪水退去後，居民行走在遭蹂躪後的家園，無語問蒼天；而波蘭河流一夜之間水位暴漲，有的甚至超出警戒水位快3倍，沖垮鐵橋，當局宣布進入災難狀態，並請求歐盟支援。
捷克亦災情慘重，湍急的洪水流過大街小巷，部分地區通信中斷，當局已緊急疏散上萬人。然而，大雨仍未止息，在匈牙利首都布達佩斯，當局預計本周多瑙河水位將上漲超過8.5公尺，接近2013年8.91公尺的紀錄。
BBC指出，波瑞斯之所以如此具破壞性的原因，首先是地中海、黑海海水異常高溫，來自北方的冷空氣與溫暖的溼氣混合在一起；其次，低壓被困在西部和東部的高壓之間，陷入「阻塞模式」。自2021年西歐極端洪災後，專家表示歐洲發生類似事件的可能性和強度正在增加。",Yahoo奇摩新聞,6 天前
